status,visibility,sku,store_view_code,attribute_set_code,product_type,product_websites,url_key,name,description,short_description,product_online,price,special_price,special_price_from_date,special_price_to_date,qty,is_in_stock,tax_class_id,categories,configurable_variation_labels,additional_attributes,configurable_variations
1,Not Visible Individually,A011464-V,,Default,simple,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464-V,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=V,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590-V,sys_barcode=2100039325056",
1,Not Visible Individually,A011464-I,,Default,simple,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464-I,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=I,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590-I,sys_barcode=2100039325018",
1,Not Visible Individually,A011464-III,,Default,simple,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464-III,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=III,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590-III,sys_barcode=2100039325032",
1,"Catalog, Search",A011464,,Default,configurable,base,CINTURA-CON-RICAMO-IN-PUNTA-MORO-A011464,CINTURA CON RICAMO IN PUNTA MORO,,,1,10.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=CP 10068CI 322,sys_size=III,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI22,cod=CP 10068CI 322-C1590,sys_barcode=2100039325049|2100039325025|2100039325056|2100039325018|2100039325032","sku=A011464-IV,sys_size=IV|sku=A011464-II,sys_size=II|sku=A011464-V,sys_size=V|sku=A011464-I,sys_size=I|sku=A011464-III,sys_size=III"
1,Not Visible Individually,A011421-PZ,,Default,simple,base,MARSUPIO-ASIMMETRICO-NERO-A011421-PZ,MARSUPIO ASIMMETRICO NERO,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=EJ 10074BS 322,sys_size=PZ,composizione=95% POLIESTERE 5% PVC,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=EJ 10074BS 322-C1199-PZ,sys_barcode=2100039282014",
1,"Catalog, Search",A011421,,Default,configurable,base,MARSUPIO-ASIMMETRICO-NERO-A011421,MARSUPIO ASIMMETRICO NERO,,,1,20.000000,0,1990-01-01,1990-01-01,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=EJ 10074BS 322,sys_size=PZ,composizione=95% POLIESTERE 5% PVC,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=EJ 10074BS 322-C1199,sys_barcode=2100039282014","sku=A011421-PZ,sys_size=PZ"
1,Not Visible Individually,A009606-IV,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606-IV,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=IV,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199-IV,sys_barcode=2100037467048",
1,Not Visible Individually,A009606-II,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606-II,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=II,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199-II,sys_barcode=2100037467024",
1,Not Visible Individually,A009606-I,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606-I,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=I,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199-I,sys_barcode=2100037467017",
1,Not Visible Individually,A009606-III,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606-III,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=III,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199-III,sys_barcode=2100037467031",
